age_group_id,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
age_group_name,,Early Neonatal,Late Neonatal,Post Neonatal,1 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74
cause_id,cause_name,,,,,,,,,,,,,,,,,,
297,Tuberculosis,1.9753387196740263e-09,NA,NA,9.716193552139277e-06,-1.0646235775812258e-06,-9.197531147723049e-07,-5.666051462165413e-06,-7.821174546785271e-06,-7.057997598429741e-06,NA,NA,NA,NA,NA,1.8445429547757326e-05,2.2831185658838254e-05,NA,NA
298,HIV/AIDS,NA,NA,NA,NA,NA,NA,NA,-3.759648269754442e-05,-8.020329215890193e-05,-0.00011462331346094075,-0.00011747644771876117,-0.00010771876236609877,-8.36808274021885e-05,-6.684889876796051e-05,-4.095986082732788e-05,-2.8342143447471706e-05,NA,NA
302,Diarrheal diseases,NA,NA,NA,7.618438288207445e-05,NA,NA,NA,NA,NA,NA,NA,NA,5.144096493188993e-06,NA,NA,NA,NA,-3.047408209454758e-05
321,Other intestinal infectious diseases,NA,NA,1.5630777283773051e-06,3.232471901593242e-07,1.8023015734140955e-08,9.67445926894931e-09,6.558728469385252e-09,6.408432430404865e-09,4.295265181340807e-09,6.140997523288213e-09,6.839692152929281e-09,5.588504211574778e-09,7.0425600144835886e-09,6.683063792258389e-09,6.25694785573309e-09,7.751587663569348e-09,1.0676770510190812e-08,7.352360568381305e-09
322,Lower respiratory infections,NA,-0.0011809749371040539,-0.0002342604834856074,5.39622539231213e-05,-3.642997666511188e-06,-3.0673944064209723e-06,-3.4444959818592386e-06,-4.641487006865691e-06,-6.903299448088385e-06,-9.524783418944663e-06,-1.098713955617672e-05,-9.775373316463704e-06,-7.639538333066846e-06,-9.425085605758846e-06,-1.0567161592127053e-05,NA,NA,NA
328,Upper respiratory infections,NA,NA,4.031320524264375e-06,3.6401406844206733e-06,2.8359648621964107e-06,1.8470709520531479e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.901045744826269e-07,8.9207139397917e-07,8.985699378777082e-07
329,Otitis media,6.325076849237772e-06,4.648904357271989e-07,2.472980831762302e-07,NA,-3.942467254348406e-07,-3.6587809144417127e-07,-2.379358389646103e-07,1.9776839562592138e-07,1.7513399484441674e-07,1.137614500676771e-07,1.088083131048285e-07,1.394743004846121e-07,2.1584204296293022e-07,2.8657536343235476e-07,2.317855397699341e-07,1.575142248757304e-07,9.126710924178788e-08,5.228872683004326e-08
